Risk_Level,Trend_Tag,Enroll_Pattern_Tag,School_Type,School_Count,Districts,Blocks,Avg_Enrollment_2526,Avg_Growth_pct,Avg_Risk_Score
MEDIUM RISK,Recovery,Narrow Spread,Senior_Secondary,364,"AGRA, ALIGARH, AMBEDKAR NAGAR, AMETHI - CSM NAGAR, AURAIYA","AAKU(NEHTOR), AASPUR-DEOSARA, ABHOLI, ACHHALDA, AFZALGRAH",80.3,20.08,4.1
LOW RISK,Recovery,Narrow Spread,Senior_Secondary,216,"AGRA, ALIGARH, AMBEDKAR NAGAR, AZAMGARH, BAHRAICH","AASAFPUR, AASPUR-DEOSARA, ACCHNERA, AHIRORI, ALIYA",156.5,19.12,1.6
LOW RISK,Consistent Growth,Narrow Spread,Middle_to_Higher,188,"AGRA, ALIGARH, AMBEDKAR NAGAR, AMETHI - CSM NAGAR, AZAMGARH","ACCHNERA, AKBARPUR, AKOLA, ALLHEPUR(DHAMPUR), AMAPUR",419.1,399.12,1.6
MEDIUM RISK,Volatile,Narrow Spread,Senior_Secondary,157,"AGRA, AMBEDKAR NAGAR, AMETHI - CSM NAGAR, AURAIYA, AZAMGARH","ACCHNERA, AKOLA, AMANIGANJ, AMARAUDHA, AMAULI",74.0,19.82,3.9
LOW RISK,Consistent Growth,Narrow Spread,Senior_Secondary,131,"AGRA, AMBEDKAR NAGAR, AMETHI - CSM NAGAR, AURAIYA, BAHRAICH","ABHOLI, AMAPUR, AMAWAN, ARAJILINES, AURAI",157.8,68.95,1.7
LOW RISK,Peaked,Narrow Spread,Middle_to_Higher,110,"AGRA, ALIGARH, AMETHI - CSM NAGAR, BAGHPAT, BAHRAICH","AFZALGRAH, AIRAYAN, AMROHA, ANOOPSHAHAR, BABERU",462.4,16.45,1.2
MEDIUM RISK,Consistent Growth,Narrow Spread,Senior_Secondary,103,"ALIGARH, AURAIYA, AZAMGARH, BAGHPAT, BAHRAICH","AAKU(NEHTOR), AGAUTA, AHIRORI, AIRWAKATRA, AMARAUDHA",66.6,107.15,4.1
HIGH RISK,Recovery,Narrow Spread,Senior_Secondary,94,"AGRA, AMBEDKAR NAGAR, AMETHI - CSM NAGAR, AZAMGARH, BAGHPAT","ABHOLI, AIRAYAN, AMANIGANJ, AURAI, BABINA",54.6,-22.2,6.9
HIGH RISK,Consistent Decline,Narrow Spread,Senior_Secondary,88,"AGRA, AMETHI - CSM NAGAR, AZAMGARH, BALLIA, BALRAMPUR","AMBIYAPUR, BADOKHAR KHURD, BAGHRA, BAH, BAKSHI KA TALAB",93.3,-36.73,9.0
MEDIUM RISK,Peaked,Narrow Spread,Senior_Secondary,88,"AGRA, ALIGARH, AMETHI - CSM NAGAR, AURAIYA, AZAMGARH","ALAMPUR, AMARIA, ASHOTHAR, AURAIYA, AURAS",67.4,20.78,3.9
HIGH RISK,Consistent Decline,Narrow Spread,Middle_to_Higher,83,"AGRA, ALIGARH, AMETHI - CSM NAGAR, AZAMGARH, BALLIA","AFZALGRAH, ALLHEPUR(DHAMPUR), AMETHI, AMROHA CITY, ARAJILINES",578.5,-28.72,6.9
LOW RISK,Volatile,Narrow Spread,Senior_Secondary,82,"BAHRAICH, BALLIA, BARABANKI, BAREILLY, BASTI","ABHOLI, BAGHAULI, BAMORE, BAR, BARKHERA",144.7,11.07,1.5
LOW RISK,Recovery,Narrow Spread,Middle_to_Higher,74,"ALIGARH, AMBEDKAR NAGAR, AMETHI - CSM NAGAR, BAHRAICH, BALRAMPUR","AAKU(NEHTOR), AONLA, BADOKHAR KHURD, BAHADURPUR, BAHARIYA",667.0,18.2,1.2
LOW RISK,Volatile,Narrow Spread,Middle_to_Higher,72,"AGRA, ALIGARH, AMETHI - CSM NAGAR, AURAIYA, AZAMGARH","AMARAUDHA, AURAIYA, AZMATGARH, BABAGANJ, BABERU",548.7,12.18,1.1
LOW RISK,Peaked,Narrow Spread,Senior_Secondary,51,"BANDA, BARABANKI, BHADOI, BUDAUN, BULANDSHAHR","ARAJILINES, AURAI, BAGARMAU, BAKSHI KA TALAB, BHADOHI",158.8,19.31,1.6
HIGH RISK,Volatile,Narrow Spread,Senior_Secondary,41,"AURAIYA, BAHRAICH, BALLIA, BANDA, BHADOI","ARAWN, ASMOLI, AWAGARH, BAHUA, BHADOHI",56.7,-25.44,6.6
LOW RISK,Consistent Growth,Narrow Spread,Middle_to_Secondary,37,"AMBEDKAR NAGAR, AMETHI - CSM NAGAR, BAHRAICH, BANDA, DEORIA","AKBARPUR, AMANIGANJ, AMARIA, AMAWAN, BHEETI",316.7,83.4,1.2
LOW RISK,Stable,Narrow Spread,Middle_to_Higher,34,"BARABANKI, BAREILLY, BHADOI, BULANDSHAHR, CHITRAKOOT","ALIGANJ, AURAI, B.B.NAGAR, BANGRA, BANSI",838.8,-1.49,0.8
MEDIUM RISK,Peaked,Narrow Spread,Middle_to_Higher,33,"AGRA, ALIGARH, BALLIA, BAREILLY, BASTI","ALLHEPUR(DHAMPUR), ATRAULI, AURAS, BANSDEEH, BAREILLY TOWN",439.9,4.33,3.8
MEDIUM RISK,Volatile,Narrow Spread,Middle_to_Higher,31,"ALIGARH, AMETHI - CSM NAGAR, AZAMGARH, BALLIA, BARABANKI","AMARIA, BAANSGAON, BAHADURPUR, BAR, DEBAI",342.5,-10.6,3.7
MEDIUM RISK,Consistent Growth,Narrow Spread,Middle_to_Higher,27,"BALLIA, BAREILLY, BIJNOR, BUDAUN, BULANDSHAHR","ALIGANJ, BAHERI, BARHANI, BHADAURA, BUDHANA",62.1,140.05,3.9
MEDIUM RISK,Consistent Growth,Wide Spread,Middle_to_Higher,26,"AMETHI - CSM NAGAR, BAHRAICH, BAREILLY, BUDAUN, ETAH","ALIYA, BACHHRAWAN, BAGHRA, BIRDPUR, CHHAPIA",269.7,487.49,3.8
MEDIUM RISK,Recovery,Narrow Spread,Middle_to_Higher,25,"ALIGARH, AMETHI - CSM NAGAR, AZAMGARH, BIJNOR, ETAH","AFZALGRAH, BHAGATPUR TANDA, BILARI, CAMPIARGANJ, CITY(PRATAPGARH BELHA)",428.4,-8.5,3.9
HIGH RISK,Peaked,Narrow Spread,Senior_Secondary,24,"AURAIYA, BAHRAICH, BALLIA, BANDA, BARABANKI","ACHHALDA, BHATNI, BIRDHA, BRIJMAN GANJ, CHILKAHAR",45.7,-28.63,7.0
LOW RISK,Recovery,Narrow Spread,Middle_to_Secondary,24,"ALIGARH, AMBEDKAR NAGAR, AZAMGARH, BAHRAICH, BANDA","AASPUR-DEOSARA, BILARIYAGANJ, CHANDAUS, FATEHPUR 84, GAJRAULA",387.1,6.53,0.8
LOW RISK,Stable,Narrow Spread,Senior_Secondary,21,"AGRA, ALIGARH, AMETHI - CSM NAGAR, BAREILLY, BIJNOR","ALLHEPUR(DHAMPUR), BANIYAKHERA, BARAGAON, BARKHERA, BHADAIYAN",171.4,0.66,1.3
HIGH RISK,Consistent Decline,Narrow Spread,Middle_to_Secondary,20,"ALIGARH, AMBEDKAR NAGAR, BANDA, ETAWAH, FAIZABAD","ATRAULI, BARHPURA, BICHHIYA, BIDHNU, BIJAULI",254.2,-30.12,7.2
LOW RISK,Volatile,Narrow Spread,Middle_to_Secondary,18,"ALIGARH, AMBEDKAR NAGAR, BAHRAICH, BARABANKI, ETAWAH","AKBARPUR, ATRAULI, BALDIRAI, BILSANDA, CHAKARNAGAR",445.3,7.44,0.8
LOW RISK,Peaked,Narrow Spread,Middle_to_Secondary,15,"BARABANKI, CHANDAULI, DEORIA, JALAUN, KANNAUJ","BAGARMAU, BAKSHI KA TALAB, BHATPAR RANI, CHHIBRAMAU, DEWA",399.3,16.97,0.3
HIGH RISK,Consistent Decline,Narrow Spread,Full_School,14,"BANDA, ETAH, FAIZABAD, HAMIRPUR (U.P.), HARDOI","AYODHYA TOWN AREA, BHARKHANI, ETAH (URBAN), KANDHLA [TOWN AREA], LALITPUR",830.6,-26.73,6.5
MEDIUM RISK,Stable,Narrow Spread,Senior_Secondary,12,"BAGHPAT, BAHRAICH, HAMIRPUR (U.P.), HARDOI, HATHRAS","BAGPAT, BANGRA, JARWAL, KABRAI, LALGANJ",69.9,-1.14,3.4
MEDIUM RISK,Consistent Decline,Narrow Spread,Middle_to_Higher,12,"AMETHI - CSM NAGAR, BALLIA, BIJNOR, BUDAUN, LUCKNOW","AFZALGRAH, BALIA KHEDI, BALLIA N.P., BIJNOR(NAGAR), BISAULI",988.0,-11.27,4.2
LOW RISK,Peaked,Narrow Spread,Full_School,11,"BAGHPAT, CHITRAKOOT, GORAKHPUR, KHERI, LUCKNOW","BAROUT, BEWAR, CHITRAKOOT (URBAN), LMP, MACHRA",604.6,-0.56,0.5
LOW RISK,Consistent Growth,Moderate,Middle_to_Higher,11,"BALLIA, BULANDSHAHR, GORAKHPUR, JYOTIBA PHULE NAGAR (AMROHA), KAUSHAMBI","AASPUR-DEOSARA, BANKEGANJ, CAMPIARGANJ, DALMAU, GAJRAULA",202.5,128.64,1.5
LOW RISK,Stable,Narrow Spread,Full_School,9,"ALIGARH, AZAMGARH, CHITRAKOOT, MAHARAJGANJ, RAMPUR","MIRZAPUR, NAGAR ALIGARH, NAGAR PALIKA RAMNAGAR, NOUTANWA, RAM NAGAR",1058.3,-0.26,0.6
MEDIUM RISK,Recovery,Narrow Spread,Middle_to_Secondary,9,"AMETHI - CSM NAGAR, BULANDSHAHR, DEORIA, FAIZABAD, GHAZIABAD","BHARKHANI, DANPUR, GAURI BAZAR, GURSARAI, KASIMABAD",89.2,32.32,3.9
LOW RISK,Recovery,Narrow Spread,Full_School,9,"FATEHPUR, GHAZIPUR, GONDA, KANSHIRAM NAGAR, KUSHINAGAR","ARAJILINES, CHHAPIA, KASGANJ (URBAN), MOHAMMADABAD, NAGAR BINDKI",579.8,7.99,0.2
MEDIUM RISK,Consistent Growth,Narrow Spread,Middle_to_Secondary,7,"BHADOI, BULANDSHAHR, GHAZIABAD, HAMIRPUR (U.P.), JALAUN","BHOJPUR, GOHAND, GYANPUR, KASIA, RAMPURA",60.4,167.61,3.7
LOW RISK,Volatile,Narrow Spread,Full_School,7,"AMBEDKAR NAGAR, BAHRAICH, HARDOI, MATHURA, MAU","GOVERDHAN, N.K.KHAIRABAD, NAGAR AREA, NAGAR KSHETRA MAU, PARIKSHIT GARH",542.9,0.75,0.9
HIGH RISK,Volatile,Wide Spread,Middle_to_Higher,6,"AZAMGARH, DEORIA, GONDA, MEERUT, MORADABAD","BILARI, JHANJHRI, MAHARAJ GANJ, SALIMPUR, SAMBHAL CITY",53.8,86.41,6.7
HIGH RISK,Consistent Growth,Wide Spread,Middle_to_Higher,6,"BAREILLY, BULANDSHAHR, JYOTIBA PHULE NAGAR (AMROHA), MEERUT, SAHARANPUR","ARNIA, HASANPUR, MAJHGAWAN, MUZAFFARABAD, PARIKSHIT GARH",69.2,150.1,6.2
LOW RISK,Stable,Narrow Spread,Middle_to_Secondary,6,"BAHRAICH, BARABANKI, BHADOI, BIJNOR, RAE BARELI","AURAI, BALHA, BEHJOI, NAJIBABAD, SATAON",732.5,0.05,1.0
LOW RISK,Recovery,Narrow Spread,Secondary_Only,5,"HARDOI, PRAYAGRAJ, SITAPUR, UNNAO","BISWAN, HARIYAWAN, MEJA, MIYAGANJ, SIDHAULI",129.6,128.98,1.6
LOW RISK,Consistent Growth,Narrow Spread,Full_School,5,"AURAIYA, JAUNPUR, LALITPUR, PRAYAGRAJ, SITAPUR","BIDHUNA, KASMANDA, SHANKAR GARH, SIRKONI, TALBEHAT",882.4,49.12,0.4
MEDIUM RISK,Volatile,Narrow Spread,Middle_to_Secondary,4,"AURAIYA, BASTI, RAE BARELI, UNNAO","AIRWAKATRA, CHHATOH, GANGMURADABAD, GAUR",56.8,8.55,3.8
MEDIUM RISK,Recovery,Wide Spread,Middle_to_Higher,4,"BULANDSHAHR, JALAUN, KUSHINAGAR","BULANDSHAHR, DAKOR, MAHEVA, NAURANGIYA",203.5,-2.63,3.5
LOW RISK,Peaked,Moderate,Middle_to_Higher,4,"AGRA, RAMPUR, SAHARANPUR","ACCHNERA, BAROLI AHEER, SARSAVA, TOWN AREA RAMPUR",299.0,11.42,1.2
LOW RISK,Volatile,Moderate,Middle_to_Higher,4,"BAGHPAT, BUDAUN, GHAZIPUR, PRATAPGARH","CHHAPROLI, DEHGANWAN, DEOKALI, SHIVGARH",138.2,28.8,1.5
MEDIUM RISK,Peaked,Narrow Spread,Middle_to_Secondary,4,"AMBEDKAR NAGAR, AZAMGARH, BARABANKI, RAE BARELI","AKBARPUR, AMAWAN, ATRAULIYA, MASAULI",306.8,-25.9,3.8
HIGH RISK,Recovery,Narrow Spread,Middle_to_Higher,3,"BALLIA, MUZAFFARNAGAR, PRATAPGARH","BUDHANA, LALGANJ, PANDAH",77.0,-40.48,6.7
HIGH RISK,Recovery,Wide Spread,Middle_to_Higher,3,"AGRA, MATHURA, SAHARANPUR","JAITPUR  KALAN, MANT, SADHOLI KADIM",42.7,5.52,6.3
MEDIUM RISK,Consistent Decline,Narrow Spread,Full_School,3,"ETAWAH, FIROZABAD, RAE BARELI","ETAWAH NAGAR CHETRA, NAGAR SHETRA (RBL), TUNDLA",1014.7,-12.04,4.0
MEDIUM RISK,Consistent Decline,Narrow Spread,Senior_Secondary,3,"BARABANKI, SHAHJAHANPUR, SULTANPUR","BANKI, KURWAR, SINDHAULI",144.0,-11.83,5.0
MEDIUM RISK,Peaked,Narrow Spread,Full_School,3,"ALIGARH, GONDA, MEERUT","GONDA, GONDA(MUN. CORP.), HASTINAPUR",765.3,-26.01,3.7
MEDIUM RISK,Recovery,Narrow Spread,Full_School,3,"AURAIYA, AZAMGARH, JALAUN","AZAMGRAH, BHAGYANAGAR, T. A. ORAI",423.3,-21.61,3.3
MEDIUM RISK,Volatile,Wide Spread,Middle_to_Higher,3,"GHAZIPUR, LUCKNOW, SITAPUR","CHINHAT, RAMPURMATHURA, SAIDPUR",192.0,132.77,4.0
